Date,Open,High,Low,Close,Volume,Adjusted Close
2015-04-23,4740.89,4740.89,4740.89,4740.89,0.0,4740.89
2015-04-22,4739.81,4739.81,4739.81,4739.81,0.0,4739.81
2015-04-21,4619.16,4619.16,4619.16,4619.16,0.0,4619.16
2015-04-20,4521.92,4521.92,4521.92,4521.92,0.0,4521.92
2015-04-17,4596.14,4596.14,4596.14,4596.14,0.0,4596.14
2015-04-16,4513.55,4513.55,4513.55,4513.55,0.0,4513.55
2015-04-15,4380.51,4380.51,4380.51,4380.51,0.0,4380.51
2015-04-14,4438.18,4438.18,4438.18,4438.18,0.0,4438.18
2015-04-13,4421.07,4421.07,4421.07,4421.07,0.0,4421.07
2015-04-10,4344.42,4344.42,4344.42,4344.42,0.0,4344.42
2015-04-09,4262.14,4262.14,4262.14,4262.14,0.0,4262.14
2015-04-08,4295.8,4295.8,4295.8,4295.8,0.0,4295.8
2015-04-07,4260.04,4260.04,4260.04,4260.04,0.0,4260.04
2015-04-03,4170.54,4170.54,4170.54,4170.54,0.0,4170.54
2015-04-02,4124.78,4124.78,4124.78,4124.78,0.0,4124.78
2015-04-01,4123.9,4123.9,4123.9,4123.9,0.0,4123.9
2015-03-31,4051.2,4051.2,4051.2,4051.2,0.0,4051.2
2015-03-30,4088.18,4088.18,4088.18,4088.18,0.0,4088.18
2015-03-27,3971.7,3971.7,3971.7,3971.7,0.0,3971.7
2015-03-26,3950.0,3950.0,3950.0,3950.0,0.0,3950.0
2015-03-25,3940.41,3940.41,3940.41,3940.41,0.0,3940.41
2015-03-24,3973.05,3973.05,3973.05,3973.05,0.0,3973.05
2015-03-23,3972.06,3972.06,3972.06,3972.06,0.0,3972.06
2015-03-20,3892.57,3892.57,3892.57,3892.57,0.0,3892.57
2015-03-19,3839.74,3839.74,3839.74,3839.74,0.0,3839.74
2015-03-18,3846.05,3846.05,3846.05,3846.05,0.0,3846.05
2015-03-17,3757.12,3757.12,3757.12,3757.12,0.0,3757.12
2015-03-16,3705.67,3705.67,3705.67,3705.67,0.0,3705.67
2015-03-13,3617.66,3617.66,3617.66,3617.66,0.0,3617.66
2015-03-12,3592.84,3592.84,3592.84,3592.84,0.0,3592.84
2015-03-11,3524.65,3524.65,3524.65,3524.65,0.0,3524.65
2015-03-10,3520.61,3520.61,3520.61,3520.61,0.0,3520.61
2015-03-09,3537.75,3537.75,3537.75,3537.75,0.0,3537.75
2015-03-06,3478.52,3478.52,3478.52,3478.52,0.0,3478.52
2015-03-05,3496.34,3496.34,3496.34,3496.34,0.0,3496.34
2015-03-04,3530.82,3530.82,3530.82,3530.82,0.0,3530.82
2015-03-03,3507.9,3507.9,3507.9,3507.9,0.0,3507.9
2015-03-02,3601.26,3601.26,3601.26,3601.26,0.0,3601.26
2015-02-27,3572.84,3572.84,3572.84,3572.84,0.0,3572.84
2015-02-26,3566.29,3566.29,3566.29,3566.29,0.0,3566.29
2015-02-25,3478.73,3478.73,3478.73,3478.73,0.0,3478.73
2015-02-17,3522.32,3522.32,3522.32,3522.32,0.0,3522.32
2015-02-16,3499.48,3499.48,3499.48,3499.48,0.0,3499.48
2015-02-13,3469.83,3469.83,3469.83,3469.83,0.0,3469.83
2015-02-12,3442.87,3442.87,3442.87,3442.87,0.0,3442.87
2015-02-11,3434.12,3434.12,3434.12,3434.12,0.0,3434.12
2015-02-10,3406.94,3406.94,3406.94,3406.94,0.0,3406.94
2015-02-09,3345.92,3345.92,3345.92,3345.92,0.0,3345.92
2015-02-06,3312.42,3312.42,3312.42,3312.42,0.0,3312.42
2015-02-05,3366.95,3366.95,3366.95,3366.95,0.0,3366.95
2015-02-04,3401.77,3401.77,3401.77,3401.77,0.0,3401.77
2015-02-03,3437.45,3437.45,3437.45,3437.45,0.0,3437.45
2015-02-02,3353.96,3353.96,3353.96,3353.96,0.0,3353.96
2015-01-30,3434.39,3434.39,3434.39,3434.39,0.0,3434.39
2015-01-29,3481.8,3481.8,3481.8,3481.8,0.0,3481.8
2015-01-28,3525.32,3525.32,3525.32,3525.32,0.0,3525.32
2015-01-27,3574.93,3574.93,3574.93,3574.93,0.0,3574.93
2015-01-26,3607.99,3607.99,3607.99,3607.99,0.0,3607.99
2015-01-23,3571.73,3571.73,3571.73,3571.73,0.0,3571.73
2015-01-22,3567.61,3567.61,3567.61,3567.61,0.0,3567.61
2015-01-21,3548.89,3548.89,3548.89,3548.89,0.0,3548.89
2015-01-20,3396.22,3396.22,3396.22,3396.22,0.0,3396.22
2015-01-19,3355.16,3355.16,3355.16,3355.16,0.0,3355.16
2015-01-16,3635.15,3635.15,3635.15,3635.15,0.0,3635.15
2015-01-15,3604.12,3604.12,3604.12,3604.12,0.0,3604.12
2015-01-14,3502.42,3502.42,3502.42,3502.42,0.0,3502.42
2015-01-13,3514.04,3514.04,3514.04,3514.04,0.0,3514.04
2015-01-12,3513.58,3513.58,3513.58,3513.58,0.0,3513.58
2015-01-09,3546.72,3546.72,3546.72,3546.72,0.0,3546.72
2015-01-08,3559.26,3559.26,3559.26,3559.26,0.0,3559.26
2015-01-07,3643.79,3643.79,3643.79,3643.79,0.0,3643.79
2015-01-06,3641.06,3641.06,3641.06,3641.06,0.0,3641.06
2015-01-05,3641.54,3641.54,3641.54,3641.54,0.0,3641.54
2015-01-01,3533.71,3533.71,3533.71,3533.71,0.0,3533.71
2014-12-31,3533.71,3533.71,3533.71,3533.71,0.0,3533.71
