Country Name,Country Code,Series Name,Series Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,MEX,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,145,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa (developing only),MNA,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,1321,0,0,1878,3494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle income,MIC,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18974,24448,0,0,0,0,0,0
Moldova,MDA,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,Battle-related deaths (number of people),VC.BTL.DETH,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,Battle-related deaths (number of people),VC.BTL.DETH,1149,1577,1326,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
Myanmar,MMR,Battle-related deaths (number of people),VC.BTL.DETH,997,536,627,1617,130,685,317,229,323,61,25,215,213,271,38,27,139,244,348,46,188,150,713,702,278,187,0
Namibia,NAM,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,1,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,44,40,250,156,268,429,3947,1341,1880,1104,457,0,0,0,0,0,0,0,0,0
Netherlands,NLD,Battle-related deaths (number of people),VC.BTL.DETH,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,NIC,Battle-related deaths (number of people),VC.BTL.DETH,526,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
